room_id,host_id,neighbourhood,name,latitude,longitude,room_type,accommodates,bedrooms,beds,instant_bookable,first_review,last_review,number_of_reviews,review_scores_rating,price
26284385,61144823,浦东新区,（2浦东机场PVG附近）私人独栋别墅内的温馨大床房单间，提供接送机服务。（2号房链接）,31.21075,121.75855,Private room,2,1,1,t,2018-07-07,2020-11-21,53,100.0,966.44
29241032,217699435,浦东新区,【姐姐家的民宿】<整栋独享>！整栋！整栋！浴缸➕巨幕投影！榻榻米卧室！迪士尼超近10分钟免费接送！,31.11669,121.694,Entire home/apt,4,1,1,t,2018-10-28,2021-02-21,225,100.0,1847.99
29344693,221079133,浦东新区,上海大宅门A南京路 陆家嘴 东方明珠塔 外滩 迪士尼 世博园 新国展 超大客厅房豪华装修 环境幽静,31.19582,121.52547,Entire home/apt,8,4,4,f,2018-10-30,2021-02-20,105,100.0,8449.82
29909753,181174487,浦东新区,Haichang Ocean Park/Close to College Town/D Lake,30.91308,121.92218,Entire home/apt,4,2,2,t,2019-05-16,2021-02-14,53,100.0,2174.49
29981294,189286605,浦东新区,【长租·可看房】迪士尼·独栋别墅·ins森系小屋· 独立客房(门锁/卫浴)·康桥半岛高端富人区·东林,31.13486,121.57566,Entire home/apt,3,1,2,f,2018-12-01,2020-11-10,78,100.0,1756.5700000000004
31239769,89643801,浦东新区,『免费接送』迪士尼野生动物园海洋公园浦东机场,31.13217,121.65874,Entire home/apt,6,4,4,f,2019-01-18,2020-12-31,55,100.0,4166.14
31240851,232307871,浦东新区,【预订八折】柠檬初上hellokitty主题房/迪士尼独栋别墅/赠早餐乐园接送/新装修/近机场/地铁,31.13488,121.67038,Private room,2,1,1,t,2019-03-27,2020-10-23,56,100.0,2004.71
31838906,238464976,浦东新区,遇见归心·倚楼 简约风格，独栋花园别墅/庭院可自助烧烤/智能化妆镜/网红蝴蝶椅,31.13438,121.69386000000002,Private room,2,1,1,t,2019-05-04,2021-01-08,66,100.0,868.49
32116015,240556934,浦东新区,【流苏】【限时特惠】清新榻榻米观影房-迪士尼接驳五分钟-近野生动物园/浦东机场/地铁站,31.14063,121.66269,Private room,2,1,1,t,2019-02-08,2020-11-01,78,100.0,1736.98
32160950,42535755,浦东新区,[寒假七五折/早鸟价]私语 恋恋Summer北欧轻奢别墅单间 近迪士尼/地铁直达外滩机场/近商业区 位置超优,31.13905,121.66765,Private room,2,1,1,f,2019-02-10,2021-01-02,72,100.0,1371.3
32180776,42535755,浦东新区,[寒假七五折/早鸟价]森屿暖树 -恋恋Summer 日系muji风别墅单间 近迪士尼/地铁直达外滩/近商业区位置超优,31.13983,121.66514,Private room,2,1,1,f,2019-02-10,2021-01-02,83,100.0,1371.3
32205165,42535755,浦东新区,[寒假七五折/连住优惠]流萤仲夏-恋恋Summer 日系muji风 近迪士尼及地铁/近商业区,31.14036,121.66549,Private room,2,1,1,f,2019-03-17,2021-01-24,71,100.0,1541.0800000000004
32205474,42535755,浦东新区,[寒假七五折/连住优惠]独角兽的美梦 恋恋Summer北欧轻奢别墅单间 近迪士尼/地铁直达外滩/近商业区,31.1406,121.66727,Private room,2,1,1,f,2019-03-02,2021-02-22,66,100.0,1612.91
32205568,42535755,浦东新区,[寒假七五折/早鸟价]绿野仙踪-恋恋Summer 日系小清新 近迪士尼/地铁直达外滩/近商业区,31.1402,121.66564,Private room,2,1,1,f,2019-02-14,2020-12-20,88,100.0,1371.3
32205667,42535755,浦东新区,[寒假七五折/早鸟价]蓝精灵-恋恋Summer 美式简约风 近迪士尼/地铁直达外滩/近商业区,31.14055,121.66743999999998,Private room,2,1,1,f,2019-03-17,2020-12-26,84,100.0,1292.94
32683287,242437220,浦东新区,长租特惠/近迪士尼整套精品复式公寓/近地铁/科技馆,31.11502,121.59216,Entire home/apt,4,1,2,t,2019-03-05,2021-02-22,91,100.0,1750.04
33008503,102486494,浦东新区,风和日丽 景观大床房 （地铁站、迪士尼接送 含双早）近迪士尼地铁站,31.1438,121.6594,Private room,2,1,1,t,2019-11-21,2021-01-14,55,100.0,1645.5600000000004
33126840,140569028,浦东新区,【ROOM鱼肚白】上海迪士尼warming暖白精品民宿（点击头像看其他房源）,31.06522,121.67593,Private room,2,1,1,t,2019-03-29,2020-10-04,58,100.0,2220.2000000000007
33373736,132898675,浦东新区,【牛转新机】近迪士尼的整套Loft/高清巨幕投影/免费行李寄存/近地铁/科技馆/野生动物园/,31.14203,121.66376,Entire home/apt,2,1,1,t,2019-04-10,2021-01-29,57,100.0,1710.86
33496566,125006157,浦东新区,【蔷薇-长租特惠】独卫一居室#近新国际博览中心/龙阳路地铁站/迪士尼/浦东嘉里/张江高科/一妇婴医院,31.19712,121.5698,Entire home/apt,4,1,2,t,2019-04-13,2021-01-02,54,100.0,2128.78
33663814,240556934,浦东新区,【东篱】【限时特惠】超高性价比独门独院loft-视野开阔--家庭/闺蜜-DSN接送5分钟,31.14073,121.66799,Private room,4,1,2,t,2019-04-15,2020-11-06,57,100.0,3539.26
33736442,212914273,浦东新区,云木·留宿-迪士尼3公里、近地铁、动物园，外滩1h，多间独立套房，烧烤KTV棋牌室桌游花园庭院儿童场,31.1254,121.69958,Private room,2,1,1,t,2019-05-01,2020-12-30,53,100.0,796.6600000000002
34707631,172059453,浦东新区,【散漫】迪士尼乐园和迪士尼地铁站免费接送/免费寄送行李/有偿接机含双早,31.14125,121.66844,Private room,4,1,2,t,2019-05-21,2021-01-02,66,100.0,2161.4300000000007
35201918,263976227,浦东新区,【得闲】星空阁楼网红榻榻米大床房-配迪士尼接送-免费早餐-近迪士尼地铁站,31.13854000000001,121.65422,Private room,2,1,1,t,2019-06-09,2021-02-17,82,100.0,1730.45
35759846,30595226,浦东新区,【云宿】前滩中央高档新房/门口东方体育中心3条地铁/直达迪士尼/梅赛德斯/人民广场/徐家汇/巨幕投影,31.14958,121.4809,Entire home/apt,4,1,3,f,2019-06-23,2021-01-02,96,100.0,3578.44
36054156,115109799,浦东新区,<双旦迎新> 昕雨-103「雪朵」粉白｜ins风｜投影｜迪士尼接送｜早餐｜网红滑梯｜萌宠,31.142540000000004,121.66877,Private room,2,1,1,t,2019-06-29,2020-12-26,61,100.0,1880.64
36651487,276271422,浦东新区,迪士尼/立夏C06景观浴缸/免费接送机-迪士尼-丨免费接送行李/双床可睡4人丨免费早餐,31.13844000000001,121.67679,Entire home/apt,4,1,2,t,2019-07-18,2021-01-11,62,100.0,2403.04
36653420,276271422,浦东新区,迪士尼/立夏C03景观浴缸/免费接送机-迪士尼-丨免费接送行李/3床可睡6人丨免费早餐,31.13881,121.678,Entire home/apt,6,1,3,t,2019-07-18,2021-01-11,61,100.0,2161.4300000000007
37115926,279163172,浦东新区,花筑-免费接送迪士尼/特惠/含双早/地中海亲子房/免费停车/毗邻动物园/近医学园区/花海环境好,31.1061,121.66686,Private room,3,1,2,t,2019-11-16,2021-01-19,94,100.0,1841.46
37705489,237496551,浦东新区,【特惠】『美式田园家庭房』迪士尼旁独栋别墅/可接送迪士尼/近11号地铁站/奕欧来/野生动物园,31.12331,121.67416,Private room,3,1,2,t,2019-09-06,2020-11-04,76,100.0,1704.3300000000004
38053283,288764668,浦东新区,近地铁6，8号线，东方体育中心，梅奔文化中心，昌里路美食街，世博轴，晶耀前滩商圈附近精装大床房,31.15827,121.49987,Private room,2,1,1,t,2019-09-04,2021-02-01,77,100.0,1031.74
38448917,75525124,浦东新区,【芳糖】近迪士尼/浦东机场/地铁二号线/商业中心/位置极佳。独享130平loft整租适合4到6人,31.18365,121.70004,Entire home/apt,5,2,2,t,2019-09-19,2021-01-29,55,100.0,4381.63
39004038,298819785,浦东新区,「拾栖」迪士尼 八分钟接驳/超大双阳台落地全身镜+巨幕投影/温泉馆/地铁直达外滩,31.14153,121.66519,Entire home/apt,4,2,2,t,2019-10-01,2021-02-17,152,100.0,2638.12
39453923,298721318,浦东新区,全屋地暖/3房2卫5床4站地铁到东方明珠/新国展12分钟/外滩城隍庙豫园25分钟/田子坊30分钟,31.24067,121.54639,Entire home/apt,5,3,5,t,2020-04-25,2021-02-14,59,100.0,3434.78
40106623,276271422,浦东新区,O迪士尼/野生动物园/临河别墅/B11超赞大双床房/迪士尼固定班车/闵家雅苑/十九民宿,31.11116,121.68679,Private room,4,1,2,t,2019-11-25,2021-02-16,65,100.0,9239.95
40149823,188052734,浦东新区,冬泳 整套双层／百寸影院／近地铁站＋直达高铁机场＋东方明珠，外滩＋可寄存行李,31.14302,121.66592,Entire home/apt,4,2,2,t,2019-11-22,2021-02-22,106,100.0,1704.3300000000004
40290125,307991017,浦东新区,O独栋上海全屋地暖/游泳池/雅苑B(party Club 轰趴)近迪士尼和野生动物园)地铁11号线,31.14157,121.67006,Entire home/apt,16,7,13,t,2019-11-26,2021-02-17,80,100.0,12844.51
40317553,242437220,浦东新区,【暖阁】长租特惠—迪士尼15分钟车程/整套复式轻奢LOFT/野生动物园/新国际博览中心/海昌海洋,31.13817,121.65863,Entire home/apt,4,1,2,t,2019-11-25,2021-01-09,59,100.0,1606.38
40318549,311285258,浦东新区,思乡LOFT投影套房/七分钟迪士尼/近邻地铁站/野生动物园/｢ 免费早餐&不限时迪士尼免费接送｣,31.14253,121.66896,Private room,6,2,3,t,2019-12-03,2020-12-31,59,100.0,2461.81
41169312,322700655,浦东新区,【睡眠研究所Pro-玖】迪士尼接/送-日式进口烘干除螨-独立洗手间-床品除螨-床品除菌,31.14208,121.66794,Private room,2,1,1,f,2019-12-31,2021-02-16,90,100.0,1403.95
41182408,322700655,浦东新区,【睡眠研究所Pro-拾】迪士尼接/送-日式烘干除螨-独立洗手间-全屋消毒-小米电视-千兆网络,31.14084,121.66738,Private room,4,2,2,f,2020-01-01,2021-02-18,110,100.0,1932.88
41182634,322700655,浦东新区,【睡眠研究所Pro-捌】迪士尼接/送-日式进口烘干除螨-升级零压房−独立洗手间-除螨除菌-全屋消毒,31.14193,121.66917,Private room,2,1,1,f,2020-01-01,2021-02-22,126,100.0,1639.03
41186139,322700655,浦东新区,【睡眠研究所Pro-柒】迪士尼接/送−日式进口烘干除螨-独立洗手间-全屋消毒-除菌除螨-千兆网络,31.14024,121.66706,Private room,2,1,1,f,2020-01-01,2021-02-21,107,100.0,1469.25
41218870,322700655,浦东新区,【睡眠研究所Pro-陆】迪士尼接/送-日式进口烘干除螨-独立洗手间-全屋消毒-除螨除菌-千兆网络,31.14242,121.66683,Private room,2,1,1,f,2020-01-04,2021-02-21,67,100.0,1619.44
41220264,322700655,浦东新区,【睡眠研究所Pro-伍】迪士尼接/送-日式烘干除螨-独立洗手间-全屋消毒-除螨除菌,31.14172,121.66768,Private room,2,1,1,f,2020-01-04,2021-02-21,83,100.0,1364.77
41228924,322700655,浦东新区,【睡眠研究所Pro-贰】迪士尼接/送-日式进口烘干除螨-独立洗手间-全屋消毒-除菌除螨,31.14036,121.6675,Private room,2,1,1,f,2020-01-03,2021-02-14,115,100.0,1521.49
43145413,343469020,浦东新区,Nous麓眠〔浅野〕独享网红船舱长廊大床房超大落地窗斜拉床投影仪拍照打卡商业摄影近迪士尼,31.14309,121.66613,Private room,2,1,1,t,2020-05-26,2021-02-14,56,100.0,2174.49
43394048,273425212,浦东新区,带地暖的房间 朝语[揽月] 星空房 免费:接送迪士尼/接机/地铁/行李寄送/投影 躺在床上数星星星星,31.13464,121.67018,Entire home/apt,3,1,2,t,2020-05-20,2021-02-23,73,100.0,1469.25
43453686,273425212,浦东新区,带地暖的房间  朝语[繁星] 星空房 免费:接送迪士尼/接机/地铁/行李寄送/投影  躺在床上数星星,31.13369,121.66937,Entire home/apt,3,1,2,t,2020-06-05,2021-01-15,65,100.0,1789.22
43460602,273425212,浦东新区,带地暖的房间 朝语[月升]免费:接送迪士尼/接机/地铁/行李寄送/早餐 北欧荒原庇护所  独立卫生间,31.13099,121.67053,Private room,2,1,1,t,2020-06-05,2020-12-28,64,100.0,1292.94
43460951,273425212,浦东新区,带地暖的房间 朝语[月吟]免费:接送迪士尼/接机/地铁/行李寄送/早餐 北欧荒原庇护所  独立卫生间,31.13388,121.66925,Private room,2,1,1,t,2020-06-02,2020-12-30,59,100.0,1567.2
43461047,273425212,浦东新区,带地暖的房间 朝语[吟羽]免费:接送迪士尼/接机/地铁/行李寄送/早餐 北欧荒原庇护所  独立卫生间,31.13322,121.66909,Private room,2,1,1,t,2020-06-03,2021-01-15,71,100.0,1645.5600000000004
43461089,273425212,浦东新区,带地暖的房间 朝语 [风吟]免费:接送迪士尼/接机/地铁/行李寄送/早餐 落地窗投影浴缸 超大卫生间,31.1324,121.67045,Private room,2,1,1,t,2020-06-02,2020-11-10,60,100.0,2017.77
43461151,273425212,浦东新区,带地暖的房间 朝语 [沐风]有地暖，免费:接送迪士尼/接机/地铁/行李寄送/早餐 落地窗 超大卫生间,31.13392,121.66818,Private room,2,1,1,t,2020-05-27,2021-02-21,69,100.0,2350.8
43673977,107251358,浦东新区,念念不忘，必有回响（距离迪士尼，薰衣草公园和野生动物园超级近，免费地铁接送和好吃的早餐大放送）,31.14267000000001,121.69313,Private room,2,1,1,t,2020-06-19,2020-12-30,78,100.0,1260.29
43702615,134083055,浦东新区,相约转角-遇见-情侣闺蜜迪士尼免费接送/含双早 / 近地铁/距离迪士尼200米,31.14044,121.65977,Entire home/apt,2,1,1,t,2020-06-15,2021-01-13,58,100.0,1299.47
43721842,107251358,浦东新区,云想衣裳花想容 法式花园民宿,31.13651,121.69487,Private room,2,1,1,t,2020-06-22,2020-12-30,57,100.0,1260.29
