room_id,host_id,neighbourhood,name,latitude,longitude,room_type,accommodates,bedrooms,beds,instant_bookable,first_review,last_review,number_of_reviews,review_scores_rating,price
45299427,366089532,浦东新区,甘泉-ins风闺蜜亲友多人间-最佳采光景观-近迪士尼含接或送,31.14012,121.66157,Private room,3,1,2,f,2020-09-19,2020-12-26,3,100.0,3121.34
45299489,366089532,浦东新区,秋蝉-舒适榻榻米大床-迪士尼接驳接or送-免费双早-近地铁站,31.14166,121.66211,Private room,2,1,1,f,2020-10-15,2020-10-28,6,100.0,2598.94
45299567,366089532,浦东新区,新雨-清新北欧风-迪士尼专车接或送-免费双早,31.14097000000001,121.66371,Private room,2,1,1,f,2020-10-23,2020-10-23,1,100.0,2794.84
45299650,366089532,浦东新区,春华-多人ins双房（套房）-迪士尼免费接或送-免费双早,31.14192,121.66322,Private room,4,2,2,f,2020-09-12,2020-12-28,11,100.0,3839.64
45304392,211423121,浦东新区,鹿鸣●新雅●全景星空大床房●大幕投影●中央空调●游泳池●免费接送迪士尼乐园●双早,31.10712,121.69747,Private room,2,1,1,t,2020-11-09,2020-11-09,1,100.0,2403.04
45305329,289747078,浦东新区,迪士尼独幢别墅/3楼观烟花/舒适大床房一/乐园免费接送/点击房东蓝色图像，可以看到更多房原。,31.1416,121.66696,Private room,2,1,1,t,2020-10-28,2021-01-30,15,100.0,1208.05
45305378,278413117,浦东新区,【限时特惠】橡宿『悬铃』迪士尼接驳八分钟--百寸投影/落地窗/智能家居/含早餐,31.1405,121.66324,Entire home/apt,2,1,0,t,2020-09-18,2020-09-18,1,100.0,3049.51
45305425,289747078,浦东新区,迪士尼独幢别墅/近地铁口/乐园免费接送/舒适大床三/3楼阳台可以看烟花，点击房东蓝色图像获取更多房源,31.14158,121.66707,Private room,2,1,1,t,2020-10-05,2021-01-15,25,98.0,1260.29
45305696,278413117,浦东新区,【限时特惠】橡宿『冬青』迪士尼接驳八分钟--百寸投影/落地窗/智能家居/电梯/含早餐,31.13955,121.66342,Private room,2,1,0,t,2020-09-12,2020-09-12,1,100.0,3362.9500000000007
45305925,278413117,浦东新区,·【限时特惠】橡宿『蒲桃』迪士尼接驳8分钟-智能家居/多人观影/含早餐,31.13988,121.66331,Private room,4,1,2,t,2020-09-30,2020-09-30,1,100.0,4192.26
45306335,134826079,浦东新区,悦客整栋八间房可麻将烧烤轰趴-近迪士尼,31.14153,121.65953,Entire home/apt,16,8,9,t,2020-10-01,2020-10-01,1,100.0,13060.0
45306363,278413117,浦东新区,【限时特惠】橡宿『疏影』LOFT/迪士尼接驳8分钟-百寸投影/星空浴缸-含早餐,31.14115,121.66247,Private room,4,1,2,t,2020-09-15,2020-09-29,3,100.0,4838.730000000001
45306841,278413117,浦东新区,【限时特惠】橡宿『蔓枝』迪士尼接驳8分钟--原木轻奢风/百寸投影/超大落地玻璃-含早餐,31.13986,121.66248,Private room,2,1,0,t,2020-09-29,2020-09-29,1,100.0,3284.59
45308670,347836814,浦东新区,阑珊B【迪士尼独家签约】【无边天际泳池】【INS风拍摄】【烧烤BBQ】【免费班车接送】可住四人,31.13703,121.6588,Private room,4,1,2,t,2020-09-19,2020-11-26,4,100.0,2403.04
45308833,347836814,浦东新区,栖心B【迪士尼独家签约】【无边天际泳池】【INS风拍摄】【烧烤BBQ】【免费班车接送】可住两人,31.13695,121.65627,Private room,2,1,1,t,2020-10-24,2020-10-24,1,100.0,1802.28
45309139,347836814,浦东新区,无尘B【迪士尼独家签约】【无边天际泳池】【INS风拍摄】【烧烤BBQ】【免费班车接送】可住两人,31.13653,121.65856,Private room,2,1,1,t,2020-12-23,2020-12-23,1,100.0,1802.28
45309287,347836814,浦东新区,近月B【迪士尼独家签约】【无边天际泳池】【INS风拍摄】【烧烤BBQ】【免费班车接送】可住两人,31.13812,121.65892,Private room,2,1,1,t,2020-11-17,2020-11-17,1,100.0,1802.28
45310322,214586439,浦东新区,无墨•溪岸/遇上西雅图大床房/免费接送迪士尼/ 距离迪士尼10分钟/近11号线/含早餐/智能马桶,31.11305,121.64877,Private room,2,1,1,t,2020-09-09,2020-10-04,3,100.0,1155.81
45319283,351929857,浦东新区,青年里水色【慕归】ins风吊床私人庭院躺椅浴缸双床房网红打卡情侣闺蜜种草首选,31.14413,121.66291,Private room,4,1,2,t,2020-09-20,2021-02-22,28,99.0,1606.38
45319523,351929857,浦东新区,青年里水色【海坞】沙滩投影碧波泳池独立庭院清新唯美大床房网红情侣聚会生日求婚商业拍摄种草打卡,31.1436,121.66384,Private room,2,1,1,t,2020-09-20,2021-02-08,14,100.0,1417.01
45319674,351929857,浦东新区,青年里水色【鹿屿】双床网红浴缸投影仪落地窗独立庭院泳池免费早餐接送迪士尼度假游玩,31.1433,121.66281,Private room,4,1,2,t,2020-09-20,2021-02-08,27,99.0,1710.86
45319745,351929857,浦东新区,青年里水色【离海】圣托里尼双床房浴缸书桌网红别墅泳池田园景观落地窗夕阳晚霞投影仪迪士尼接送,31.14269,121.66377,Private room,4,1,2,t,2020-09-20,2020-12-30,11,96.0,1763.1
45319829,351929857,浦东新区,青年里水色【邂逅】哥特风落地窗阳光设计感网红泳池庭院投影仪浴缸乡野风光大床房免费早餐迪士尼接送,31.14195,121.66157,Private room,2,1,1,t,2020-09-22,2021-01-31,27,98.0,1417.01
45319918,351929857,浦东新区,青年里水色【芳菲】圣托里尼蓝天白云双床房露天泳池烛光露台ins风落地窗投影仪浴缸吊灯网红拍照种草,31.14661,121.66483,Private room,4,1,2,t,2020-09-20,2021-02-19,25,100.0,1632.5
45327572,118019231,浦东新区,Shanghai Luxury 2Brs view  *Line 6&7*  Disney/Expo,31.18395,121.51302,Entire home/apt,5,2,2,f,2020-09-17,2020-11-01,15,97.0,10265.16
45334165,171573484,浦东新区,近梅赛德斯  远眺黄埔江 月夜 120寸巨幕投影,31.20169000000001,121.50655,Entire home/apt,2,1,1,t,2020-09-11,2020-10-14,2,100.0,2350.8
45335611,358171748,浦东新区,房东帮忙接送/Loft上下两层/首次出租/迪士尼/野生动物园/海昌海洋公园/新国际博览中心,31.11518,121.59456000000002,Entire home/apt,4,1,2,t,2020-10-04,2021-02-11,2,100.0,1834.93
45336448,249745599,浦东新区,【下南】近地铁精装房/近新国展/地暖复式loft两居室可住4人,31.17992000000001,121.54062,Entire home/apt,4,2,2,t,2021-01-02,2021-02-04,2,100.0,2644.65
45338041,125006157,浦东新区,【芳菲小驻】整套两居室#近新国际博览中心/2/7/16/磁浮线龙阳路地铁站/浦东嘉里城/第一妇婴医院,31.19633,121.55905,Entire home/apt,4,2,2,t,2020-09-11,2020-09-24,5,100.0,2696.890000000001
45338375,125006157,浦东新区,【海棠-长租特惠】整套一居室#2/7/16号线龙阳路站/浦东嘉里/紫竹/大唐/张江科技园/新国览中心,31.1974,121.56943,Entire home/apt,2,1,1,t,2020-09-11,2020-10-15,2,100.0,1913.29
45338827,347836814,浦东新区,拿铁B【迪士尼独家签约】【无边天际泳池】【INS风拍摄】【烧烤BBQ】【免费班车接送】可住两人,31.13677,121.6582,Private room,2,1,1,t,2020-11-04,2020-11-04,1,100.0,1521.49
45339138,347836814,浦东新区,拿铁A【迪士尼独家签约】【无边天际泳池】【INS风拍摄】【烧烤BBQ】【免费班车接送】可住两人,31.13718,121.65825,Private room,2,1,1,t,2020-10-26,2020-12-16,8,98.0,1488.84
45339190,347836814,浦东新区,摩卡A【迪士尼独家签约】【无边天际泳池】【INS风拍摄】【烧烤BBQ】【免费班车接送】可住四人,31.13724,121.65825,Private room,4,1,2,t,2020-10-21,2020-10-21,1,100.0,2148.37
45343325,214586439,浦东新区,无墨•溪岸/淡黄比利时双床房/免费接送迪士尼/ 距离迪士尼10分钟/近11号线/含早餐/智能马桶,31.142540000000004,121.66026,Private room,4,1,2,t,2020-09-19,2020-09-19,1,100.0,1625.97
45353305,255505481,浦东新区,【烁家民宿】近迪斯尼 川沙绿地云悦坊 3卧loft精装公寓二号线直达两大机场陆家嘴,31.18111,121.6995,Entire home/apt,6,2,3,t,2020-10-04,2020-10-04,1,100.0,3859.23
45354416,216982792,浦东新区,【留白居•初心】亲子民宿 迪士尼店 亲子双床房2号 免费接送迪士尼 含早,31.16618,121.66736000000002,Private room,4,1,2,t,2020-10-06,2020-10-06,1,100.0,2357.33
45355386,214586439,浦东新区,无墨•溪岸/掠影圣彼得堡双床房/免费接送迪士尼/ 距离迪士尼10分钟/近11号线/含早餐/智能马桶,31.1418,121.65947,Private room,4,1,2,t,2020-10-06,2020-10-29,2,100.0,1625.97
45358496,364798029,浦东新区,独栋咖啡馆民宿－新场古镇内,31.01878,121.64667,Entire home/apt,3,1,2,f,2020-09-16,2020-12-29,2,100.0,2403.04
45359863,214586439,浦东新区,无墨•溪岸/流连香榭丽舍双床房/免费接送迪士尼/ 距离迪士尼10分钟/近11号线/含早餐/智能马桶,31.14225,121.66027,Private room,3,1,2,t,2020-10-02,2020-10-06,2,90.0,1390.89
45360248,351929857,浦东新区,青年里水色【醉月】ins网红小红书种草打卡首选 大面积阳光房全景天窗落地玻璃 情侣闺蜜亲子家庭房,31.14715,121.66395,Private room,2,1,1,t,2020-09-20,2021-02-22,36,96.0,1514.96
45360555,351929857,浦东新区,青年里水色【星落】清新度假 阳光通透星空房   仰头蓝天白云 晚观点点疏星，日落晚霞 平原视野,31.14306,121.66394,Private room,4,1,2,t,2020-09-20,2021-02-22,32,96.0,1625.97
45360693,351929857,浦东新区,青年里水色【飘羽】情侣闺蜜种草打卡 亲子家庭商业拍摄 大面积阳光房 视野好无遮拦 室外泳池草地彩灯,31.1447,121.66348,Private room,4,1,2,t,2020-09-20,2021-02-17,17,100.0,2017.77
45360747,351929857,浦东新区,青年里水色【沐月】清新ins网红烛光露台泳池 户外用餐 秋千草地彩灯躺椅 公共区域大可容纳多人,31.1459,121.66372,Private room,4,1,2,t,2020-09-20,2021-01-14,12,93.0,1508.43
45360808,351929857,浦东新区,青年里水色【椰梦】大床 网红落地窗 大浴缸 投影仪 室外露天泳池免费早餐接送迪士尼度假游玩,31.14439,121.66304,Private room,2,1,1,t,2020-09-20,2021-02-09,33,99.0,1514.96
45360810,214586439,浦东新区,无墨•溪岸/墨兰奥地利双床房/免费接送迪士尼/ 距离迪士尼10分钟/近11号线/含早餐/智能马桶,31.14343,121.65981,Private room,3,1,2,t,2020-10-05,2021-01-01,2,100.0,1390.89
45360845,351929857,浦东新区,青年里水色【暮光】碧波椰影蓝天白云独立双床玻璃落地窗投影仪大浴缸吊灯网红拍照种草 露天泳池草地秋千,31.14319,121.66311,Private room,4,1,2,t,2020-09-20,2021-01-20,20,99.0,1704.3300000000004
45360885,351929857,浦东新区,青年里水色【拾光】清新自然ins风 浪漫度假室外泳池大浴缸大床房投影仪独卫台灯书桌,31.14559,121.6629,Private room,6,2,3,t,2020-09-20,2021-02-10,16,100.0,2128.78
45360928,351929857,浦东新区,青年里水色【鲸落】ins网红种草小红书旅拍商拍 落地玻璃秋千泳池吊灯大浴缸 含早餐 迪士尼免费接送,31.14268,121.66868,Private room,2,1,1,t,2020-09-20,2021-02-21,20,96.0,1567.2
45360951,351929857,浦东新区,青年里水色【耳语】通透大面积阳光房落地窗俯瞰泳池  碧波椰影海岛风 草地秋千彩灯自然ins风,31.1294,121.71497,Private room,4,1,2,t,2020-09-20,2021-02-22,12,98.0,1991.65
45365265,182719624,浦东新区,青年里水色【海坞】沙滩投影碧波泳池独立庭院清新唯美大床房网红情侣聚会生日求婚商业拍摄种草打卡,31.14041,121.66556,Private room,2,1,1,t,2020-09-19,2021-02-04,8,100.0,1495.37
