id,neighbourhood,rent
1,西城区,10088
2,东城区,11241
3,海淀区,8283
4,朝阳区,9519
5,石景山区,5006
6,丰台区,5829
7,昌平区,5207
8,大兴区,4655
9,顺义区,8209
10,通州区,4100
11,门头沟区,3681
12,房山区,2965
13,怀柔区,3632
14,延庆区,2349
15,密云区,2747
