room_id,host_id,neighbourhood,name,latitude,longitude,room_type,accommodates,bedrooms,beds,price,instant_bookable,first_review,last_review,number_of_reviews,review_scores_rating
32343606,181757230,海淀区,【苔岑村舍】海淀田村/六号线地铁站/直达南锣鼓巷后海/高品质商品房/蒙特梭利培训/医学科学院外科整型,39.93271,116.24163,Private room,2,1,1,1554.14,t,2019-02-20,2020-11-29,47,100.0
37468675,229351050,海淀区,【呆着】中关村颐和园苏州街海淀医院人大清华北大一居室独卫厨房投影地铁4号、10号（长租可议）,39.976859999999995,116.31246000000002,Entire home/apt,2,1,1,3591.5,t,2019-09-25,2021-02-09,71,100.0
39473576,40157933,海淀区,「逸宁」🌈温馨次卧 政法北影 近地铁大钟寺 知春路 北航 首体 北医三院 北师大北邮,39.97039,116.34983999999999,Private room,2,1,1,1364.77,t,2019-10-24,2021-02-17,45,100.0
39570315,40157933,海淀区,「逸宁」🌈北欧风超大主卧 政法北影 近地铁大钟寺 知春路 首体 北航 邮电 北医三院,39.96879000000001,116.34933999999998,Private room,2,1,1,1645.5600000000004,t,2019-10-24,2021-01-08,33,100.0
44361455,64668650,海淀区,欧式简约-高端住宅【知春路/西土城】北医三院，北航/北电/首体日式榻榻米。点击头像查看其他房型。短租,39.9757,116.3488,Private room,2,1,1,1639.03,t,2020-08-02,2021-02-15,32,100.0
45361695,166366749,海淀区,春节特惠｜清华北大/地大/北航/中科院/五道口地铁站，近五道口购物中心，商圈住宅房,39.99068,116.33756000000001,Private room,3,1,1,1377.8300000000004,t,2020-09-18,2021-02-05,41,100.0
31867127,238845402,石景山区,香山/八大处/植物园/八大处整形医院/康复医院/协和护理/首钢医院/北工大/精品loft超大双床房,39.94435,116.2072,Entire home/apt,4,2,2,3114.81,f,2019-02-28,2021-02-12,45,100.0
33960095,256431510,通州区,地铁口，超舒适，所有品牌家电，轻奢风格复式公寓设计,39.92152,116.65883999999998,Entire home/apt,2,1,1,2566.29,t,2019-04-21,2020-12-24,56,100.0
34027760,256431510,通州区,地铁边，北欧风格，超舒适全部品牌家电，等待有缘的你,39.922509999999996,116.65693999999999,Entire home/apt,2,1,1,2527.11,t,2019-04-27,2021-01-29,41,100.0
40709478,100142592,门头沟区,爆米花的家庭影院,39.909859999999995,116.1267,Entire home/apt,2,1,1,2788.31,t,2019-12-13,2021-01-11,38,100.0
4878955,22403478,顺义区,"Near airport T1/2/3,apartment",40.03849,116.59473,Private room,2,1,1,1384.36,f,2016-03-25,2019-05-19,64,100.0
15635689,22403478,顺义区,"北京T1/2/3航站楼5KM,COZY&CLEAN ROOM IN BJ,距新国展7KM,含家庭早餐",40.03854000000001,116.59573999999999,Private room,1,1,1,1332.12,f,2016-10-28,2020-01-20,37,100.0
28510639,156371084,顺义区,祥云小镇网红森林式loft公寓,40.08755,116.54153000000001,Entire home/apt,2,1,1,2598.94,t,2019-02-24,2020-12-27,38,100.0
29451518,189826706,顺义区,临地铁/机场温馨舒适loft,40.12202,116.61174,Entire home/apt,2,1,1,2213.67,t,2018-11-11,2019-07-18,46,100.0
29725535,17617121,顺义区,Beijing Airport/ Commercial facilities/ Cute cats.,40.08654,116.54293,Private room,1,2,1,1070.92,f,2018-11-11,2020-12-18,90,100.0
33277688,249793790,顺义区,每日消毒/近地铁/温馨投影loft/首都机场  新国展 望京 15号线南法信站,40.1237,116.61254,Entire home/apt,2,1,1,1319.06,t,2019-04-11,2021-02-14,88,100.0
33284816,113227376,顺义区,每日消毒 日系INS风 投影+桌游LOFT 首都机场 15号线旁 望京 新国展 直达奥森,40.12314,116.61318999999999,Entire home/apt,3,1,2,1606.38,t,2019-10-16,2021-02-15,65,100.0
35401225,266471478,顺义区,"【小时出租 长租优惠】首都机场(3号航站楼)附近,独立整套公寓，可洗衣做饭",40.10685,116.62865,Entire home/apt,2,1,1,1443.13,t,2019-06-16,2020-11-03,43,100.0
